Month,Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total,,,,,,,,,,,
2018-05,NYSE Arca (P),4260683520,5436345275,3146798462,12843827257,1.87E+11,3.15E+11,1.56E+11,6.58E+11,32421843,15067952,22269673,69759468,,,,,,,,,,,
2018-05,NYSE National (C),1708970,833549,1034114,3576633,55831256.55,58178730.15,40283320.54,154293307.2,16911,4194,11155,32260,,,,,,,,,,,
2018-06,BYX Equities (Y),3919232785,1584984954,1821141831,7325359570,1.22E+11,69862010128,72364363453,2.64E+11,33369860,7654544,16760901,57785305,,,,,,,,,,,
2018-06,BZX Equities (Z),4476581068,2148395655,2678742988,9303719711,1.95E+11,1.46E+11,1.60E+11,5.01E+11,41802223,10464997,24589752,76856972,,,,,,,,,,,
2018-06,CHX (M),279163837,302806669,201367170,783337676,14115596559,29353574338,20291187524,63760358421,78811,93144,92511,264466,,,,,,,,,,,
2018-06,EDGA Equities (J),847461175,477745406,496953471,1822160052,33373591578,29006329500,26182156122,88562077200,7583758,2298180,4320100,14202038,,,,,,,,,,,
2018-06,EDGX Equities (K),3696260959,1652761913,3228135405,8577158277,1.54E+11,96117242445,1.60E+11,4.09E+11,26534986,6751897,20913684,54200567,,,,,,,,,,,
2018-06,FINRA / NYSE TRF (DN),2086976391,752882729,2152930230,4992789350,78493486104,26612891228,92141863205,1.97E+11,5780777,1910991,6997501,14689269,,,,,,,,,,,
2018-06,FINRA / Nasdaq TRF Carteret (DQ),24624379986,8645947160,17464633819,50734960965,9.75E+11,5.14E+11,8.54E+11,2.34E+12,80800547,18695087,52434692,151930326,,,,,,,,,,,
2018-06,IEX (V),2163303811,344821253,1113606824,3621731888,95450288294,20169075900,62955047533,1.79E+11,14331816,1495395,7660145,23487356,,,,,,,,,,,
2018-06,NASDAQ (Q),7562811274,2986696676,13643470540,24192978490,3.75E+11,2.02E+11,7.98E+11,1.38E+12,67935047,13527120,73817835,155280002,,,,,,,,,,,
2018-06,NASDAQ BX (B),2446120704,698287807,1426651821,4571060332,1.08E+11,38662969100,72030703724,2.19E+11,25347752,3556436,15384452,44288640,,,,,,,,,,,
2018-06,NASDAQ PSX (X),359255373,381254048,314078674,1054588095,15316721958,29685222180,22336665464,67338609603,3181394,1650444,2707908,7539746,,,,,,,,,,,
2018-06,NYSE (N),21176006321,332238941,535555837,22043801099,8.97E+11,25476636721,27137873512,9.50E+11,54655491,1617309,4001797,60274597,,,,,,,,,,,
2018-06,NYSE American (A),147074214,505199483,80359052,732632749,6002761990,5793257083,4580991245,16377010318,1360939,993961,766780,3121680,,,,,,,,,,,
2018-06,NYSE Arca (P),4043170866,5591167143,3373729135,13008067144,1.79E+11,3.24E+11,1.73E+11,6.76E+11,30527789,15620576,24288783,70437148,,,,,,,,,,,
2018-06,NYSE National (C),63655197,18626783,42467393,124749373,1282876399,688959839,925187917.1,2897024155,583771,86243,409770,1079784,,,,,,,,,,,
2018-07,BYX Equities (Y),3428447843,1400067157,1561573040,6390088040,1.08E+11,60770969281,66573352169,2.36E+11,30158232,6669532,15224251,52052015,,,,,,,,,,,
2018-07,BZX Equities (Z),3908693454,1844479104,2244397038,7997569596,1.76E+11,1.23E+11,1.42E+11,4.40E+11,38023701,8876209,21378852,68278762,,,,,,,,,,,
2018-07,CHX (M),223548065,240576197,194152359,658276621,10607720332,22295482130,19647807574,52551010036,71841,81904,84600,238345,,,,,,,,,,,
2018-07,EDGA Equities (J),783353967,424965640,425104508,1633424115,30975889783,24398347079,24138842769,79513079631,7201462,2003461,3796661,13001584,,,,,,,,,,,
2018-07,EDGX Equities (K),3135389359,1456322482,2566791797,7158503638,1.35E+11,77790052692,1.41E+11,3.54E+11,23075120,5707817,17302392,46085329,,,,,,,,,,,
2018-07,FINRA / NYSE TRF (DN),2753348568,1142110342,2772298355,6667757265,97117250944,34792919678,1.45E+11,2.77E+11,6967559,2483648,8085164,17536371,,,,,,,,,,,
2018-07,FINRA / Nasdaq TRF Carteret (DQ),20231281382,7291800293,13086316320,40609397995,8.23E+11,4.13E+11,7.24E+11,1.96E+12,71638341,15799983,45010967,132449291,,,,,,,,,,,
2018-07,IEX (V),1844778238,306485070,956580363,3107843671,85467229011,17455059745,60676110701,1.64E+11,12182551,1259185,6473260,19914996,,,,,,,,,,,
2018-07,NASDAQ (Q),6954258394,2812194290,10193089097,19959541781,3.62E+11,1.81E+11,6.74E+11,1.22E+12,64229435,12247899,65356631,141833965,,,,,,,,,,,
2018-07,NASDAQ BX (B),2152607999,602850073,1160433074,3915891146,1.02E+11,32899514513,66156087471,2.01E+11,23018687,2988056,13055738,39062481,,,,,,,,,,,
2018-07,NASDAQ PSX (X),304295317,355340404,267392751,927028472,13209902623,25883765208,20932024625,60025692457,2624051,1403920,2278130,6306101,,,,,,,,,,,
2018-07,NYSE (N),15474341942,385432498,543228327,16403002767,6.64E+11,29746235486,32650886422,7.27E+11,47663493,1651838,3989271,53304602,,,,,,,,,,,
2018-07,NYSE American (A),96882022,301822484,53277666,451982172,4415444957,3813751563,3487835137,11717031656,946082,855938,522642,2324662,,,,,,,,,,,
2018-07,NYSE Arca (P),3408185703,5121498478,2824468219,11354152400,1.54E+11,2.84E+11,1.69E+11,6.07E+11,26719033,13629566,21467350,61815949,,,,,,,,,,,
2018-07,NYSE National (C),198988615,60035534,115084378,374108527,5707530058,2227586681,3651396766,11586513505,1938244,360856,1162010,3461110,,,,,,,,,,,
2018-08,BYX Equities (Y),3603352249,1508915388,1672698567,6784966204,1.15E+11,64584826023,69308525357,2.49E+11,32159679,7525534,16502527,56187740,,,,,,,,,,,
2018-08,BZX Equities (Z),4178724844,1909842338,2489537851,8578105033,1.80E+11,1.23E+11,1.53E+11,4.56E+11,39841298,9071970,23241205,72154473,,,,,,,,,,,
2018-08,CHX (M),299764187,264675686,248051648,812491521,15050839971,25149291759,24372003189,64572134919,80044,99620,101960,281624,,,,,,,,,,,
2018-08,EDGA Equities (J),807455536,442038634,514641775,1764135945,31632243969,25411849440,25452100623,82496194033,7605148,2103723,4148029,13856900,,,,,,,,,,,
2018-08,EDGX Equities (K),3117501104,1399263569,3377696584,7894461257,1.30E+11,73882492044,1.44E+11,3.48E+11,23607910,5436237,18193393,47237540,,,,,,,,,,,
2018-08,FINRA / NYSE TRF (DN),4230285189,1761864953,5076800993,11068951135,1.45E+11,54490356011,2.37E+11,4.37E+11,9760392,3512193,11812865,25085450,,,,,,,,,,,
2018-08,FINRA / Nasdaq TRF Carteret (DQ),20682410602,7377898450,14134049432,42194358484,8.42E+11,4.18E+11,7.20E+11,1.98E+12,77202869,17043824,49174934,143421627,,,,,,,,,,,
2018-08,IEX (V),2066085143,348629502,1121735763,3536450408,94568354646,20234241769,68113976495,1.83E+11,14059226,1458819,7782803,23300848,,,,,,,,,,,
2018-08,NASDAQ (Q),7597206430,3111044259,11541979220,22250229909,3.88E+11,1.98E+11,7.17E+11,1.30E+12,71587581,13382323,73074585,158044489,,,,,,,,,,,
2018-08,NASDAQ BX (B),2289217936,640478817,1250654922,4180351675,1.10E+11,35715426935,69443980379,2.15E+11,24499362,3136311,13803070,41438743,,,,,,,,,,,
2018-08,NASDAQ PSX (X),324332237,371438600,285901114,981671951,13169843536,27456422140,21400781810,62027047487,2836001,1480744,2405473,6722218,,,,,,,,,,,
2018-08,NYSE (N),16058317843,427255530,582480731,17068054104,6.79E+11,31490677867,31134404533,7.41E+11,48791094,1564691,4260719,54616504,,,,,,,,,,,
2018-08,NYSE American (A),105037156,274013696,63143949,442194801,4690986186,3282563953,3687617956,11661168096,1068203,824091,607054,2499348,,,,,,,,,,,
2018-08,NYSE Arca (P),3613794517,5508442897,3545686788,12667924202,1.60E+11,2.89E+11,1.85E+11,6.34E+11,27827316,13971458,24426492,66225266,,,,,,,,,,,
2018-08,NYSE National (C),549680071,241194575,292836965,1083711611,16554051384,8509258535,10625276459,35688586377,5327346,1142892,2970210,9440448,,,,,,,,,,,
2018-09,BYX Equities (Y),3112343687,1302508580,1505079723,5919931990,1.05E+11,57943440220,64642036000,2.28E+11,27762115,6541814,14956578,49260507,,,,,,,,,,,
2018-09,BZX Equities (Z),3596212309,1708099637,2435841935,7740153881,1.57E+11,1.14E+11,1.44E+11,4.15E+11,33149690,8017315,21694547,62861552,,,,,,,,,,,
2018-09,CHX (M),298956906,272737468,178959865,750654239,17914443345,26416914449,17633424886,61964782681,83690,91012,97223,271925,,,,,,,,,,,
2018-09,EDGA Equities (J),678847198,410873132,460260744,1549981074,27755970235,23921574123,24955834964,76633379323,6387938,1874106,3904679,12166723,,,,,,,,,,,
2018-09,EDGX Equities (K),2402272513,1275939268,2903810255,6582022036,1.01E+11,63454813878,1.20E+11,2.84E+11,18678142,4726040,15975206,39379388,,,,,,,,,,,
2018-09,FINRA / NYSE TRF (DN),3384654335,1590173577,5071691619,10046519531,1.14E+11,43082696963,2.17E+11,3.74E+11,8089611,3290291,11434906,22814808,,,,,,,,,,,
2018-09,FINRA / Nasdaq TRF Carteret (DQ),18322267321,6620745838,13715560344,38658573503,7.51E+11,3.85E+11,6.63E+11,1.80E+12,65929148,14836599,44947463,125713210,,,,,,,,,,,
2018-09,FINRA / Nasdaq TRF Chicago (DB),12400,0,0,12400,1714300,0,0,1714300,1,0,0,1,,,,,,,,,,,
2018-09,IEX (V),1897324120,324860745,1093377364,3315562229,88500902804,18659367512,65403089972,1.73E+11,12962255,1405846,7741929,22110030,,,,,,,,,,,
2018-09,NASDAQ (Q),6536844944,2780146263,11940341245,21257332452,3.31E+11,1.76E+11,7.22E+11,1.23E+12,57805380,11060542,64811892,133677814,,,,,,,,,,,
2018-09,NASDAQ BX (B),1882233762,533494590,1077783410,3493511762,91721028226,28544935019,61249356591,1.82E+11,19995638,2609856,11848339,34453833,,,,,,,,,,,
2018-09,NASDAQ PSX (X),284936298,307549899,271595325,864081522,11817732723,24822191296,20884394225,57524318244,2487194,1234941,2426922,6149057,,,,,,,,,,,
2018-09,NYSE (N),16686184282,449453263,543942345,17679579890,7.37E+11,34019974412,28899383958,8.00E+11,44350263,1450464,3847094,49647821,,,,,,,,,,,
2018-09,NYSE American (A),96978620,348808174,60343002,506129796,4519784614,3102179567,3599896456,11221860637,993456,767528,582886,2343870,,,,,,,,,,,
2018-09,NYSE Arca (P),3191920142,4849948950,3310955294,11352824386,1.40E+11,2.64E+11,1.76E+11,5.79E+11,23897227,12118176,23541122,59556525,,,,,,,,,,,
2018-09,NYSE National (C),659599543,299648869,337934026,1297182438,20577128342,10285012449,13812686663,44674827453,6195626,1231601,3411330,10838557,,,,,,,,,,,
2018-10,BYX Equities (Y),4675306378,2280705774,2052532827,9008544979,1.45E+11,1.09E+11,88358477970,3.42E+11,39114837,11707123,19371945,70193905,,,,,,,,,,,
2018-10,BZX Equities (Z),6081727036,3932352891,3847942992,13862022919,2.62E+11,2.87E+11,2.39E+11,7.87E+11,55312529,20266407,34836612,110415548,,,,,,,,,,,
2018-10,CHX (M),309875591,446122940,244352073,1000350604,16557098567,51236255255,24695264200,92488618021,144526,242660,192156,579342,,,,,,,,,,,
2018-10,EDGA Equities (J),1089295798,788130885,681117354,2558544037,42707442786,52977157335,37548413208,1.33E+11,9711579,3770202,5718879,19200660,,,,,,,,,,,
2018-10,EDGX Equities (K),3645967151,2666648004,4211901455,10524516610,1.53E+11,1.71E+11,1.91E+11,5.14E+11,28682922,11862246,24160359,64705527,,,,,,,,,,,
