Month,Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total,,,,,,,,,,,
2018-11,NYSE (N),19267402411,748162665,774621848,20790186924,7.94E+11,54444713667,41296111532,8.90E+11,63502081,2633863,5209116,71345060,,,,,,,,,,,
2018-11,NYSE American (A),114448063,277999091,54231467,446678621,4911383394,3670232212,3102490223,11684105829,1112597,776204,546958,2435759,,,,,,,,,,,
2018-11,NYSE Arca (P),4512433159,6778533188,3861433455,15152399802,1.84E+11,3.78E+11,2.10E+11,7.72E+11,34575098,19112693,29759284,83447075,,,,,,,,,,,
2018-11,NYSE National (C),825408798,388688785,388918052,1603015635,23379173590,12613867667,16429249897,52422291154,7280156,1642054,4046253,12968463,,,,,,,,,,,
2018-12,BYX Equities (Y),3819455983,2043048834,1590472071,7452976888,1.01E+11,93507779011,63736916026,2.58E+11,31164980,9973505,14976657,56115142,,,,,,,,,,,
2018-12,BZX Equities (Z),5118733481,3580100235,3131811383,11830645099,2.05E+11,2.52E+11,1.85E+11,6.42E+11,46750997,18547572,28819863,94118432,,,,,,,,,,,
2018-12,CHX (M),193157541,496577189,168848235,858582965,9078862589,48152968177,17185566363,74417397130,128393,314647,186833,629873,,,,,,,,,,,
2018-12,EDGA Equities (J),1433817092,798716793,756412055,2988945940,56066955732,46823709037,41732118192,1.45E+11,13743497,4003267,7140106,24886870,,,,,,,,,,,
2018-12,EDGX Equities (K),3387492958,2294276608,2624878167,8306647733,1.25E+11,1.57E+11,1.37E+11,4.19E+11,25245890,10797663,18174826,54218379,,,,,,,,,,,
2018-12,FINRA / NYSE TRF (DN),4644642393,2386588454,4566393746,11597624593,1.32E+11,1.06E+11,2.06E+11,4.44E+11,10263935,4658292,10607321,25529548,,,,,,,,,,,
2018-12,FINRA / Nasdaq TRF Carteret (DQ),23029196390,12292415038,14119846009,49441457437,8.10E+11,7.53E+11,6.97E+11,2.26E+12,79502497,24479059,46288675,150270231,,,,,,,,,,,
2018-12,IEX (V),2476726774,614781471,1233672955,4325181200,95606630248,35918403574,65900549443,1.97E+11,17562279,2777587,9181166,29521032,,,,,,,,,,,
2018-12,NASDAQ (Q),10130301407,5925142523,14541323597,30596767527,4.21E+11,4.09E+11,8.16E+11,1.64E+12,90273646,26343223,89272095,205888964,,,,,,,,,,,
2018-12,NASDAQ BX (B),1860329175,759476317,997126369,3616931861,73049141311,42939670008,49585085347,1.66E+11,17801366,3739467,9925806,31466639,,,,,,,,,,,
2018-12,NASDAQ PSX (X),382498160,609439613,358807293,1350745066,15061426943,49251485094,28305879104,92618791142,3166437,2543753,2919601,8629791,,,,,,,,,,,
2018-12,NYSE (N),22064637071,1174393560,936338837,24175369468,8.46E+11,87665792310,52051639866,9.86E+11,66394694,3909718,5586677,75891089,,,,,,,,,,,
2018-12,NYSE American (A),134825467,301977780,53583792,490387039,5553442085,4432828882,2872605144,12858876111,1291453,786657,539803,2617913,,,,,,,,,,,
2018-12,NYSE Arca (P),4595166338,8440215786,3756932881,16792315005,1.76E+11,4.97E+11,2.05E+11,8.78E+11,35286912,25659251,28673308,89619471,,,,,,,,,,,
2018-12,NYSE National (C),891297133,608210000,388480310,1887987443,23551419293,21525489362,15166682936,60243591590,7696766,2581469,3858961,14137196,,,,,,,,,,,
